1001	19691001	179	75422 	 	    		
1002	19701128	187	82552
1003	19720724	193	94929
1004	19870628	160	47002
1005	19810121	176	72248
1006	19600903	176	67506
1007	19710929	170	68081
1008	19860913	169	61624
1009	19800523	175	73118
1010	19980928	186	84979
1011	19941015	170	71088
1012	19750908	175	76004
1013	19751107	168	72241
1014	19630227	182	83465
1015	19961119	155	46218
1016	19960601	184	80087
1017	19991212	176	74564
1018	19720717	190	79374
1019	19851002	181	88211
1020	19810904	156	58169
1021	19780803	158	47275
1022	19810428	169	59686
1023	19981121	181	80344
1024	19900513	175	78813
1025	19890321	169	65128
1026	19690718	175	61046
1027	19610220	179	67558
1028	19750806	180	64859
1029	19590128	175	64000
1030	19920902	197	83249
1031	19600224	196	88380
1032	19890625	176	64431
1033	19960510	191	83812
1034	19960901	179	75822
1035	19770110	180	70954
1036	19580716	177	72282
1037	19830923	183	78176
1038	19851216	173	63288
1039	19711220	197	88835
1040	19890527	183	78867
1041	19560423	176	76870
1042	19770601	181	72439
1043	19610715	174	67173
1044	19670708	181	69537
1045	19730930	198	95610
1046	19700120	179	73986
1047	19930819	178	64792
1048	19781207	170	61428
1049	19700108	185	77806
1050	19720204	176	75458
1051	19561104	171	64942
1052	19780903	161	66053
1053	19580225	192	95296
1054	19670130	166	69628
1055	19840602	159	52832
1056	19970528	172	69464
1057	19641102	176	71991
1058	19840130	182	76190
1059	19800604	183	73746
1060	19620922	197	90343
1061	19880517	177	64121
1062	19930120	176	78054
1063	19940204	169	67329
1064	19870214	184	89845
1065	19710901	177	73675
1066	19640627	182	73543
1067	19600412	190	89363
1068	19720606	167	61194
1069	19681010	189	79520
1070	19701123	160	55759
1071	19550101	190	83936
1072	19570107	173	67287
1073	19790821	193	91909
1074	19850323	183	77772
1075	19710802	160	55665
1076	19670424	164	65514
1077	19810125	163	52479
1078	19920626	176	82226
1079	19970228	197	104090
1080	19880107	179	77277
1081	19640420	187	82326
1082	19800219	189	83055
1083	19601014	180	82855
1084	19910316	188	82338
1085	19850228	191	86730
1086	19830407	188	85457
1087	19660816	177	75426
1088	19961224	165	69205
1089	19620318	180	74403
1090	19600308	167	64905
1091	19890907	172	64883
1092	19810213	174	68128
1093	19570810	190	78320
1094	19850915	178	71619
1095	19621122	181	74463
1096	19550923	185	77372
1097	19571201	185	88100
1098	19740216	183	75837
1099	19931229	186	87495
1100	19661008	165	69202
1101	19691027	169	74062
1102	19630403	166	62327
1103	19731210	183	69632
1104	19871107	180	71462
1105	19900722	183	78355
1106	19851228	163	56739
1107	19630911	181	72408
1108	19801028	182	73246
1109	19670503	184	79898
1110	19610731	171	70541
1111	19870914	162	64346
